question,answer
"What plans do Lauki Phones offer?","Prepaid, postpaid, family, enterprise, and data-only plans. Each tier defines fixed data limits, voice allowances, roaming eligibility, renewal rules, and addon compatibility. Enterprise plans include device management APIs and priority support."
"How do I activate a new SIM?","Insert the SIM, complete KYC with government-issued ID, verify phone number ownership, and restart the device. Network registration finishes once identity and address checks clear."
"How long does activation take?","Activation completes within 30 minutes in most regions. Delays occur only when KYC verification needs manual review or when the device fails to register on a supported band."
"Does Lauki Phones support eSIM?","Supported on devices that follow GSMA eSIM standards. Provisioning occurs through the Lauki Phones portal, which issues a single-use QR profile tied to the account."
"How do I switch from physical SIM to eSIM?","Authenticate in the portal, request conversion, validate identity, and scan the generated QR on the device. The physical SIM deactivates immediately after profile installation."
"How do I check my data balance?","The app dashboard shows real-time usage, daily consumption, and projected depletion. The USSD balance code provides a fallback when mobile data is unavailable."
"How do I upgrade my plan?","Select an eligible higher-tier plan in the app. System recalculates prorated charges, locks the new plan for the next billing cycle, and adjusts data and voice limits at cycle start."
"What is the billing cycle for postpaid?","Billing begins on the customer’s activation date and repeats every 30 days. Overages, roaming usage, and addons reflect in the next invoice with itemized entries."
"How do I pay my bill?","Supported methods include UPI, credit/debit cards, net-banking, and autopay. Autopay triggers on invoice generation to avoid service interruption for overdue accounts."
"Are international roaming packs available?","Roaming packs cover APAC, EU, Middle East, and Americas. Each pack specifies data caps, voice allowances, validity periods, and country-specific restrictions."
"How do I activate international roaming?","Purchase a region-specific roaming pack and enable roaming in device settings. System pushes roaming credentials to the visited network within minutes."
"Does Lauki Phones throttle speeds after data limits?","Yes. Once the plan’s fair-usage data limit is exceeded, speeds drop to the published throttle rate. Full speeds resume only after renewal or purchase of a data addon."
"Can I share data with family members?","Family plans allow a single data pool managed by the primary account holder. Allocation can be set per member or left dynamic based on real-time usage."
"How do I report network issues?","File a ticket in the app specifying location, timestamps, and issue type. The diagnostic engine runs automated checks before forwarding the case to field teams."
"What should I do if my SIM is lost?","Block the SIM through the account portal to disable all network access. Request a replacement after verifying identity to prevent unauthorized usage."
"Is SIM replacement chargeable?","Yes. Replacement fees cover SIM provisioning, KYC validation, and backend reprofiling. Charges differ by region but stay within the regulated upper limit."
"Does Lauki Phones support VoLTE?","VoLTE is enabled for devices certified on Lauki Phones’ IMS network. High-definition calling activates automatically when LTE coverage is available."
"Does Lauki Phones support WiFi Calling?","Supported for most current smartphones. Calls route through secure IMS tunnels when cellular coverage is weak, maintaining voice quality and call continuity."
"How do I enable WiFi Calling?","Enable WiFi Calling in device network settings and connect to a stable WiFi network. The device registers with the IMS server once authentication succeeds."
"How do I transfer my number from another carrier?","Submit a porting request using the port code issued by the current carrier. Lauki Phones validates identity, initiates number transfer, and schedules activation.")
"How long does porting take?","Porting completes within 3–5 working days. During the final transfer window, short downtime occurs while routing shifts from the old carrier to Lauki Phones."
"Can I pause my service temporarily?","Temporary suspension is available for up to 90 days. Suspended accounts retain the number but lose active services until reactivation."
"How do I change my registered address?","Upload updated address proof, complete digital verification, and wait for backend validation. Address changes update billing and regulatory records."
"Are corporate discounts available?","Yes. Enterprise accounts receive volume-based discounts, pooled data options, centralized billing, and SLA-bound support."
"How do I get itemized call and data usage?","Download the usage statement from the billing dashboard. The report lists timestamps, duration, data sessions, roaming events, and cost attribution."
"Does Lauki Phones offer 5G?","5G is available on compatible devices and plans. Access depends on local coverage, device band support, and the customer’s plan tier."
"Which network bands does Lauki Phones operate on?","Lauki Phones primarily operates on standardized LTE bands such as Band 3 (1800 MHz), Band 7 (2600 MHz), and Band 40 (2300 MHz) for enhanced coverage and speed in urban areas, alongside 5G NR bands including n78 (3500 MHz) for sub-6GHz and n258 (26 GHz) for mmWave in select metropolitan zones. Device compatibility is determined by supported frequency bands, carrier aggregation rules like CA_3A-7A for LTE, and VoLTE profile availability, ensuring seamless handover between 4G and 5G networks based on regional spectrum allocations by telecom regulators."
"How do I verify if my device is compatible?","To verify compatibility, open the Lauki Phones app and navigate to the 'Device Check' section under Settings. The system automatically reads your device model (e.g., via IMEI), modem capabilities (such as Snapdragon X65 for 5G), and supported band lists from the device's firmware, then cross-validates them against the active network profile and regional carrier settings. If incompatible, the app suggests alternatives like band-unlocking services or compatible device recommendations."
"Can I order a SIM online?","Yes, ordering a SIM online is straightforward: log into your Lauki Phones account, submit KYC details including PAN and Aadhaar for Indian users, select a preferred delivery slot (e.g., next-day or standard 3-5 days), and complete address verification via OTP or geo-location. The physical SIM or eSIM QR code ships securely with tamper-evident packaging, and activation remains pending until identity and address proofs are cleared by our automated verification system, typically within 24-48 hours."
"What ID documents are accepted for KYC?","For KYC, Lauki Phones accepts government-approved identity cards like Aadhaar Card, Voter ID, or PAN Card; international passports with valid visas; and driver's licenses from recognized issuing authorities. All documents must include a clear photo, signature, and current residential address (updated within the last 6 months). Scanned copies or photos uploaded via the app must be high-resolution (at least 300 DPI) to avoid rejection, and we support digital verification through DigiLocker integration for faster processing."
"How do I enable autopay?","To enable autopay, go to the 'Billing Settings' in the Lauki Phones app or web portal, select and register a preferred payment method (e.g., credit/debit card, UPI, or net banking), authorize recurring charges by entering your PIN or OTP, and confirm the mandate creation with a digital signature. You'll receive an instant confirmation email with mandate details, including the first charge date aligned to your billing cycle, ensuring uninterrupted service without manual reminders."
"Can I disable autopay anytime?","Yes, autopay can be disabled anytime from the 'Billing' section in the app by selecting the active mandate and confirming cancellation via OTP. The change applies instantly to prevent future deductions, but any unpaid invoices from the current cycle must be settled manually through one-time payments to avoid service restrictions. A confirmation notification will detail the last charged amount and next manual due date."
"What happens if my bill is overdue?","If your bill is overdue, services enter a 7-10 day grace period with full access maintained but daily reminders sent via app, SMS, and email. Post-grace, restricted outbound usage kicks in (e.g., incoming calls/SMS allowed, but no outgoing or data). Continued non-payment after 15 days leads to full suspension of voice, data, and roaming until outstanding dues are cleared via one-time payment, with potential credit score impacts reported to bureaus after 30 days."
"How do I download past invoices?","Past invoices are accessible in the 'Billing History' tab of the Lauki Phones app or portal, covering up to 24 months of records. Each downloadable PDF includes detailed tax breakdowns (e.g., GST at 18%), plan charges with prorated adjustments, itemized usage (voice minutes, data GBs, SMS counts), and promotional credits. Use the search filter by date or invoice number for quick retrieval, and invoices are encrypted for secure sharing."
"Are there late payment fees?","Yes, late payment fees apply after the grace period: a fixed fee of ₹50-100 (region-dependent) for the first overdue instance, escalating to 1.5% daily interest on the outstanding amount thereafter, in line with RBI guidelines and region-specific billing regulations like TRAI mandates in India. Fees are waived for first-time delays under 5 days or proven technical glitches, with full transparency in the invoice summary."
"How do I dispute a bill charge?","To dispute a bill charge, submit a ticket via the 'Support' section in the app, attaching supporting evidence such as screenshots of usage logs, third-party app data, or call recordings. Our billing teams review Call Detail Records (CDRs), rating engine outputs, payment history, and network logs within 7-10 business days before issuing corrections, refunds, or credits—typically adjusting 80% of valid disputes with an audit trail provided."
"Can I set usage alerts?","Yes, set usage alerts in the 'Usage Controls' menu by selecting thresholds (e.g., 80% data consumed, 50 voice minutes left) for data, voice, and roaming categories. Notifications trigger via in-app banners, push alerts, email, and SMS, with customizable frequencies (daily/hourly). Alerts also integrate with device notifications for real-time monitoring, helping avoid overages and surprise bills."
"Can I restrict data usage for family members?","As the primary account holder, access the 'Family Dashboard' to assign fixed data caps (e.g., 5GB/month per member), block international roaming data, or temporarily disable high-speed data for specific lines. Restrictions apply instantly across shared plans, with override options via PIN, and usage reports emailed weekly to track compliance and adjust limits as needed."
"How do I enable parental controls?","Enable parental controls through the 'Family Management' module: select the child’s line, enforce age-based content filters (e.g., block adult sites via DNS), set app-level restrictions (e.g., limit social media apps), and apply time-based rules (e.g., no data after 10 PM). Setup requires a one-time PIN and syncs with device settings, with activity logs available for review to ensure safe usage."
"Does Lauki Phones support number masking?","Yes, number masking is supported for eligible enterprise accounts, anonymizing caller IDs during customer support calls or SMS campaigns to protect agent and customer privacy. It uses dynamic virtual numbers routed through our IMS core, with session logs for compliance auditing, and is available in 50+ countries under GDPR/CCPA standards—request activation via enterprise support for custom integration."
"Does the service support static IP addresses?","Static IP addresses are available for enterprise mobile broadband connections, ideal for VPNs or server access, upon request and subject to network feasibility in coverage areas. Allocation involves a one-time setup fee and annual renewal, with IPs from our /24 subnet pool, ensuring consistent addressing even during handovers—contact sales for bandwidth-tiered options up to 1Gbps."
"What security measures protect my account?","Your account is safeguarded by multi-factor authentication (MFA) with biometric or hardware keys, device binding to prevent unauthorized SIM swaps, end-to-end encrypted sessions using TLS 1.3, real-time SIM swap alerts via SMS/email, and AI-driven backend anomaly detection flagging unusual login patterns. Regular security audits comply with ISO 27001, with zero-trust architecture minimizing breach risks."
"How do I reset my account password?","To reset your password, select 'Forgot Password' on the login screen of the portal or app. Verification occurs via one-time OTP sent to your registered mobile/email, fallback security questions (e.g., first pet's name), or device biometrics depending on your setup. The new password must meet complexity rules (12+ characters, mix of types), and a change confirmation secures the update instantly."
"Can I block spam calls and SMS?","Lauki Phones employs a network-level AI spam filter that blocks over 90% of known fraudulent sources using signature matching and behavioral analysis. Users can enable device-level filtering in the app for custom blacklists, or report new spam numbers via *123# USSD for rapid database updates—reports contribute to community-driven blacklisting with anonymized analytics shared quarterly."
"What happens during network maintenance?","Scheduled network maintenance, typically 2-4 hours monthly between 2-5 AM local time, may cause brief service degradation like reduced speeds or handover delays in affected cells. Critical services (emergency calls, VoLTE) remain prioritized via redundant paths, and customers receive 48-hour pre-notice via app/SMS with ETAs. Post-maintenance, performance KPIs are monitored for 24 hours to ensure full restoration."
"How do I request a coverage check for my area?","Request a coverage check by submitting your postcode and device details in the 'Coverage Map' tool on the app or website. Our field teams analyze tower load metrics, signal quality KPIs (e.g., RSRP > -100 dBm), and user-submitted device readings (via speed tests) before confirming eligibility or scheduling optimizations like small-cell deployments—responses arrive within 72 hours with a detailed report."
"How do I move my service to a new device?","To move service, power off the old device, insert the physical SIM or scan the eSIM QR code on the new one, then restart. The network detects the change via IMSI and automatically reprofiles capabilities based on the new device's model (e.g., updating to 5G if supported), with a quick APN reconfiguration prompt if needed—full handover completes in under 2 minutes."
"Can I change my mobile number?","Yes, request a number change via the 'Profile' section, requiring identity verification through OTP and KYC re-submission. The new number (chosen from availability pool or premium options) updates across billing, app login, and service logs within 4 hours, with a 7-day grace period for notifying contacts and porting any linked services like banking OTPs."
"How can I block international calls?","Block international calls by toggling the permission in the 'Call Settings' app menu—options include full block, whitelist exceptions, or time-based limits. The update syncs to your IMS profile and call routing rules in real-time via OTA, preventing unauthorized charges while allowing emergency international dialing if geo-fenced."
"Does Lauki Phones support conference calling?","Yes, conference calling is supported on devices with standard telephony stacks (e.g., Android 10+ or iOS 14+), allowing up to 5-10 participants depending on the plan’s voice profile. Initiate via the dialer (*72 code or app button), with HD audio bridging through our VoLTE core—enterprise plans add recording and transcription add-ons for compliance."
"How do I enable call forwarding?","Enable call forwarding in your device's native call settings (e.g., *21*number# for unconditional) or via the Lauki app's 'Forwarding Rules' for advanced options like conditional (busy/no answer). Rules update on the IMS server in real-time, supporting up to 3 forwarding numbers with cycle detection to avoid loops, and logs track forwarded calls for billing accuracy."
"Can I view my porting status?","Yes, track porting status in the 'Porting' tab of the app, showing real-time progress: initial validation (1-2 days), donor carrier approval (up to 3 days), and final activation (within 4 hours of approval). Includes timelines, rejection reasons if any, and estimated completion date, with TRAI-compliant transparency for Indian ports."
"What happens if porting is rejected?","Porting rejections stem from issues like invalid port-out codes, mismatched KYC IDs, outstanding dues >₹100, or recent number changes <90 days prior. You'll receive an SMS/email with the exact reason and resolution steps (e.g., clear dues via link). Correct and resubmit the request online—95% of resubmissions succeed on the first retry."
"Are data-only SIMs supported?","Yes, data-only SIMs are fully supported, excluding voice/SMS to focus on high-speed connectivity for routers, tablets, IoT sensors, and laptop dongles. They leverage the same LTE/5G bands with APN tweaks for optimized latency (e.g., <20ms for gaming), and plans start at 10GB/month with no throttling up to fair usage policy limits."
"Does Lauki Phones offer device financing?","Lauki Phones offers financing for selected devices (e.g., latest Samsung Galaxy or iPhone models) through partnered banks, requiring credit approval via CIBIL score >700. EMI terms range from 6-24 months at 0-12% interest, varying by region, device type, and down payment (10-20%), with bundled plans reducing effective costs—apply in-app with instant pre-approval."
"How do I track order delivery?","Track your device or SIM order in the 'Orders' section of the app, featuring real-time GPS updates from partners like Delhivery or FedEx, including pickup scans, transit milestones, and ETA adjustments. Notifications alert for delays (e.g., weather), and activation QR codes appear post-delivery for immediate setup."
"Is there a lock-in period for plans?","Prepaid plans have no lock-in, allowing flexible top-ups without penalties. Postpaid plans may include a 6-12 month minimum tenure for discounted rates (e.g., 20% off) or device bundles, with early exit fees prorated (e.g., ₹500/month remaining). Unlimited plans are lock-in free but require 30-day notice for changes."
"How do I unsubscribe from promotional messages?","Unsubscribe from promotional messages in 'Notification Settings' by toggling off marketing categories (e.g., offers, upsell). Opt-outs process instantly via DND registry integration, applying to SMS/email/push but exempting mandatory regulatory alerts like tariff changes or service disruptions—confirm via test message."
"Can I request detailed roaming rates?","Yes, access detailed roaming rates in the 'Roaming' section, listing per-country breakdowns: data (e.g., ₹10/MB in EU), voice (₹50/min outgoing), and SMS (₹15 each) for pay-as-you-go, plus pack options like 1GB/5 days for ₹299 in Thailand. Rates update quarterly with partner negotiations, and a rate simulator tool previews costs."
"How do I optimize roaming usage?","Optimize roaming by enabling it only via app toggle when traveling, purchasing valid packs (e.g., daily 500MB for ₹199), restricting background data in device settings to essentials like maps, and monitoring real-time usage from the dashboard with geo-fenced alerts. Use Wi-Fi calling where available to offload cellular data entirely."
"Do enterprise accounts get API access?","Enterprise plans include RESTful APIs for comprehensive management: device lifecycle (provision/deactivate), usage analytics (real-time dashboards), provisioning (bulk SIM orders), and number masking (dynamic allocation). SDKs for Python/Node.js ease integration, with OAuth2 security and SLAs guaranteeing 99.9% uptime—docs available in the enterprise portal."
"How do I escalate an unresolved issue?","Escalations follow a tiered SLA: start with frontline chat/email (resolution <24h), then network operations for technical faults (48h), and regulatory compliance for billing/privacy (72h). Use the 'Escalate' button in open tickets, providing case ID and evidence—critical cases (e.g., outage >2h) bypass tiers with direct exec access."
"Does Lauki Phones provide IPv6 connectivity?","IPv6 connectivity is enabled by default on LTE and 5G networks for compatible devices, using dual-stack (IPv4/IPv6) mode to ensure seamless fallback and compatibility with legacy services. Benefits include larger address pools for IoT and reduced NAT overhead; check support via *#*#4636#*#* on Android, with migration tools for enterprise networks."
"How do I activate voicemail?","Activate voicemail in the app's 'Voice Settings' or via USSD code *86. Initial setup prompts greeting recording (up to 30s), PIN creation (4-6 digits), and notification preferences (SMS alerts). It integrates with visual voicemail on supported devices, storing up to 20 messages (5-10min each) with auto-forward on full mailbox."
"How do I retrieve voicemail?","Retrieve voicemail by opening the dedicated tab in the Lauki app for transcriptions and playback, or dialing 123 from your line for audio menu navigation. Messages sync across linked devices in real-time, with options to save/export as audio files or forward—unheard messages trigger daily reminders until cleared."
"Are emergency numbers accessible without balance?","Yes, emergency numbers (e.g., 100, 101, 112 in India; 911 in US) are always accessible without balance, plan status, or SIM restrictions, routing via PSAP integration even on suspended lines. Location data (AML/GPS) is shared automatically for faster response, complying with global eCall mandates."
"Can I transfer ownership of my number?","Transfer number ownership by both parties submitting KYC forms and a signed digital declaration in the app, detailing transfer reasons and consents. Post-regulatory review (e.g., TRAI approval in 7 days), the number shifts with prorated balance/bills intact, updating all linked services—ideal for gifting or business handovers."
"Do prepaid plans auto-renew?","Prepaid plans auto-renew at cycle end if sufficient balance exists (e.g., ₹299 for 28 days), deducting via wallet or linked payment. Failed renewals (low funds) suspend benefits like data/voice until recharge, with grace SMS reminders 24h prior—enable low-balance alerts to avoid lapses."
"How do I check my recharge history?","View recharge history in the 'Transactions' section, listing entries with timestamps (e.g., 2025-11-28 14:30 IST), payment method (UPI/Card), amount, reference numbers (e.g., TXN123456), and validity added. Filter by date range or type, with export to CSV for tax/audit purposes."
"Does Lauki Phones support hotspot tethering?","Yes, hotspot tethering is supported, with usage counting toward your plan’s data allowance (e.g., shared 20GB pool). Lower-tier plans may rate-limit speeds to 2Mbps after 10GB tethered, while unlimited tiers allow full-speed sharing—enable via device hotspot settings with WPA3 security recommended."
"Can I track device usage across SIMs?","Yes, the 'Analytics Dashboard' tracks usage across multiple SIMs/devices, breaking down by metrics like data volume (upload/download), network type (5G vs. Wi-Fi), session category (streaming vs. browsing), and time periods. Visual charts and exportable reports aid in budgeting, with AI insights suggesting optimizations."
"What happens if I exceed voice minutes?","Exceeding voice minutes triggers per-minute overage billing at the plan rate (e.g., ₹1/min local, ₹3/min STD), detailed in the tariff sheet and added to your next invoice with usage breakdowns. Fair usage policies cap excessive calls at 500min/day, switching to lower priority to maintain network equity."
"Are unused data benefits rolled over?","Unused data benefits roll over to the next cycle on selected prepaid (e.g., 50% rollover up to 10GB) and postpaid plans (full rollover for loyalty tiers), accumulating until the plan's cap (e.g., 20GB max). Rollover activates automatically at renewal, excluding promotional bonuses—check eligibility in plan details."
"Can I purchase multiple addons?","Yes, purchase and stack multiple addons (e.g., 5GB data + 100 SMS) via the 'Addons' store, each with independent validity (e.g., 7 days) and usage buckets that don't merge with base plan. Total cost deducts instantly, with a summary view in the dashboard—up to 5 active addons per line."
"How do I deactivate an addon?","Addons deactivate automatically at validity end, but mid-cycle deactivation isn't supported once activated to ensure fair pricing. If unused, contact support for prorated refunds on valid cases (e.g., app glitch); otherwise, let it expire while monitoring usage to maximize value."